url;full_id;osm_id;name2;name1;person:name;Napis_na_pomniku;Opis;Artysta;Powstanie;Nazwa;memorial
Brak;n6360356991;6360356991;;;;Brak;Brak;Brak;Brak;Pomnik Trzech Tramwajarek;plaque
Brak;n6416136552;6416136552;;;;Brak;Tablica upamiętnijąca dziennikarza Wojciecha Cieślewicza, zamordowanego przez ZOMO w dniu 13.02.1982r.;Józef Petruk;1992;Wojciech Cieślewicz;plaque
https://pl.wikipedia.org/wiki/Kapliczki przydrożne na Żegrzu i Ratajach w Poznaniu#Kapliczka Matki Boskiej Nieustającej Pomocy;n6421070821;6421070821;;;;Brak;Brak;Brak;1920;Matka Boża Nieustającej Pomocy;statue
Brak;n6421070829;6421070829;;;;Brak;Brak;Brak;Brak;Św. Roch;statue
https://pl.wikipedia.org/wiki/Pomnik Ofiar Czerwca 1956 (ul. Gajowa);n6459472544;6459472544;;;;..lecz zbryzgano mózgiem bruk / i bruk się wzdyma powoli / krew nie płynie już, już tylko skrzep / rozstrzelano moje serce w Poznaniu./ K.Iłłakowiczówna / Pracownikom komunikacji miejskiej w 25-rocznicę tragicznych Wydarzeń Czerwcowych / Załoga WPK;Brak;"Henryk Bartkowiak; Krzysztof Mielczak";1981;Pomnik pracowników komunikacji miejskiej;
Brak;n6517572963;6517572963;;;;Tablica upamiętniająca Piotra Szczęsnego - Szarego Człowieka, który 19 października 2017 r. w Warszawie dokonał aktu samospalenia w imię wolności i demokracji;Brak;Brak;2019;Piotr Szczęsny - Szary Człowiek;plaque
Brak;n6523308799;6523308799;;;;Brak;Tablica informująca, że w tym budynku, w latach 1918–1919, mieściła się siedziba Biura Wydziału Wykonawczego Poznańskiej Rady Robotników i Żołnierzy;Stanisława Mystka;1988;Miejsce siedziby Biura Wydziału Wykonawczego Poznańskiej Rady Robotników i Żołnierzy;plaque
https://pl.wikipedia.org/wiki/Ławeczka Stanisława Kozierowskiego w Poznaniu;n6523308808;6523308808;;;;Brak;Brak;Brak;2019;Ławka prof. Stanisława Kozierowskiego;bench
https://pl.wikipedia.org/wiki/Pomnik Stanisława Staszica w Poznaniu;n6591232269;6591232269;;;;Brak;Brak;Ryszard Skupin;1967;Stanisław Staszic;bust
Brak;n6863978090;6863978090;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
https://pl.wikipedia.org/wiki/Pomnik Powstańców Wielkopolskich na Górczynie w Poznaniu;n6899826006;6899826006;;;;Brak;Brak;Ryszard Skupin;1968;Pomnik nagrobny Powstańców Wielkopolskich;
Brak;n6899826007;6899826007;;;;Brak;Ofiarom hitlerowskiej napaści na Polskę we wrześniu 1939 r. i wszystkim Wielkopolanom którzy życie oddali ojczyźnie w latach Drugiej Wojny Światowej. Pokój od Bog - wdzięczność od potomków.;Brak;Brak;Pomnik ofiar hitlerowskiej napaści na Polskę;
https://pl.wikipedia.org/wiki/Pomnik Pawła Edmunda Strzeleckiego na Łazarzu w Poznaniu;n6982920010;6982920010;;;;Brak;Brak;Jerzy Sobociński;2003;Paweł Edmund Strzelecki;statue
Brak;n7005941731;7005941731;;;;Brak;Brak;Brak;Brak;Otwarty pomnik Kazimierza Nowaka;
Brak;n7008902921;7008902921;;;;Brak;Brak;Brak;1999;Józef Piłsudski;plaque
Brak;n7008902923;7008902923;;;;Brak;Tablica upamiętniająca pochód pierwszomajowy klasy robotniczej w 1891r.;Brak;1951;Pierwszy w Poznaniu pochód pierwszomajowy;plaque
Brak;n7012210582;7012210582;;;;Brak;Brak;J. Kasiński;1993;"Tablica harcerzy poznańskiej ""Piątki""";plaque
Brak;n7015040151;7015040151;;;;Brak;Tablica upamiętniająca Karola Marcinkowskiego w 100. rocznicę śmierci;Edward Haupt;1946;Karol Marcinkowski;plaque
Brak;n7039256214;7039256214;;;;Brak;Brak;Brak;Brak;Bł. Maria Karłowska;plaque
Brak;n7040071288;7040071288;;;;Brak;Tablica upamiętniająca uroczyste przekazanie sztandaru ufundowanego przez społeczeństwo Wielkopolski dla 3 Brygady Pancernej Armii Wojska Polskiego;Brak;Brak;Uroczyste przekazanie sztandaru dla 3 Brygady Pancernej Armii Wojska Polskiego;plaque
Brak;n7040071289;7040071289;;;;Brak;Tablica upamiętniająca miejsce zamieszkania Romana Dmowskiego w latach 1920-1922;Brak;Brak;Miejsce zamieszkania Romana Dmowskiego;plaque
Brak;n7040071290;7040071290;;;;Brak;Tablica upamiętniająca miejsce salonu artystycznego prowadzonego przez Marię Paruzewską;Brak;Brak;Miejsce salonu artystycznego Marii Paruszewskiej;plaque
Brak;n7040071291;7040071291;;;;W tym hotelu mieszkał i koncertował w latach 1854–1878 kompozytor i wirtuoz skrzypiec Henryk Wieniawski z bratem Józefem. Wasze melodyje w duszach pieszczone, trwać będą w sercach Wielkopolany.;Tablica upamiętniająca miejsce zamieszkania i koncertowania Henryka Wieniawskiego w latach 1854-1878;Roman Kosmala;2011;Miejsce zamieszkania Henryka Wieniawskiego;plaque
Brak;n7040071292;7040071292;;;;Brak;Brak;Brak;Brak;Hipolit Cegielski;plaque
Brak;n7040071294;7040071294;;;;Brak;Brak;Józef Kaliszan;1960;Pobyt Adama Mickiewicza;plaque
Brak;n7044571604;7044571604;;;;Brak;Brak;Józef Stasiński;1968;Dr Józef Struś;plaque
Brak;n7060828586;7060828586;;;;Brak;Tablica informująca, że w tym budynku mieścił się punkt kontaktowy Komendy Poznańskiego Okręgu Armii Krajowej oraz prowadzone były rozmowy pomiędzy PPR a AK;P. Andruszko;1985;Miejsce punktu kontaktowego Komendy Poznańskiego Okręgu Armii Krajowej;plaque
Brak;n7064879819;7064879819;;;;Brak;Brak;Brak;Brak;Dąb Jana Pawła II;memorial
Brak;n7072416128;7072416128;;;;Brak;Tablica upamiętniająca pierwsze miejsce obrad Komisji Organizacyjnej, powstałej z inicjatywy PTPN w latach 1918-1919;Brak;2009;Miejsce obrad komisji organizacyjnej UAM;plaque
Brak;n7072416129;7072416129;;;;Brak;Tablica upamiętniająca miejsce powstania pierwszego Aeroklubu Polski, w dniu 30.10.1919r.;Brak;1994;Pierwszy Aeroklub Polski;plaque
https://pl.wikipedia.org/wiki/Pomnik Ofiar Więzienia przy ul. Młyńskiej w Poznaniu;n7083145500;7083145500;;;;Brak;Brak;Jerzy Sobociński;1983;Tablica ofiar więzienia przy ul. Młyńskiej;plaque
https://pl.wikipedia.org/wiki/Ławeczka Studentów w Poznaniu;n7083145529;7083145529;;;;Brak;Brak;Roman Kosmala;2019;Ławka studentów;bench
Brak;n7117388910;7117388910;;;;Brak;Brak;Brak;Brak;Bł. Sancja Szymkowiak;statue
Brak;n7139805796;7139805796;;;;Brak;Brak;Brak;Brak;Edward Raczyński;plaque
Brak;n7164682578;7164682578;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
Brak;n7169966597;7169966597;;;;Brak;Brak;Brak;Brak;Historia gmachu;plaque
Brak;n7172978318;7172978318;;;;Brak;Brak;Brak;Brak;Asp. Michał Tomiak;stone
Brak;n7211798891;7211798891;;;;Brak;Pomnik poświęcony poległym parafianom w czasie I wojny światowej, powstania wielkopolskiego i wojny bolszewickiej;Lucjan Michałowski;1932;Pomnik poległych parafian;war_memorial
Brak;n7233809518;7233809518;;;;Brak;Głaz upamiętniający rodzinę Kosickich;Brak;Brak;Głaz darczyńców rodzinnego ogrodu Kosickich;stone
Brak;n7316898716;7316898716;;;;Brak;Brak;Brak;Brak;Max von Laue;plaque
Brak;n7316898717;7316898717;;;;Brak;Tablica upamiętniająca Floriana Marciniaka, twórcę Szarych Szeregów;Marian Banasiewicz;1986;Hm. Florian Marciniak;plaque
Brak;n7395630007;7395630007;;;;Brak;Brak;Brak;Brak;Abp. Walenty Dymek;plaque
Brak;n7395642993;7395642993;;;;Brak;Brak;Brak;Brak;Matka Boża z Lourdes;statue
Brak;n7395642995;7395642995;;;;Brak;Brak;Brak;1929;10. rocznica wybuchu Powstania Wielkopolskiego;plaque
Brak;n7395642996;7395642996;;;;Brak;Brak;J. Sobczak;1985;Tablica dowódców Powstania Wielkopolskiego;plaque
Brak;n7395643065;7395643065;;;;Brak;Brak;Brak;Brak;Ks. Jerzy Popiełuszko;statue
Brak;n7637738374;7637738374;;;;Brak;Brak;Brak;1986;Ks. Szczęsny Dettloff;plaque
Brak;n7637738375;7637738375;;;;Brak;Brak;W. Marcinkowski;1910;Fryderyk Chopin;plaque
Brak;n7637773414;7637773414;;;;Brak;Brak;Brak;2007;Cyryl Ratajski;plaque
Brak;n7637773415;7637773415;;;;Brak;Brak;Brak;2007;Heliodor Święcicki;plaque
Brak;n7638062145;7638062145;;;;W hołdzie poznańskim strażakom za odwagę i ofiarność;Brak;Brak;2008;Głaz poznańskich strażaków;stone
Brak;n7745160520;7745160520;;;;Fryderyk Chopin w 1828 r. grał w tym gmachu;Brak;Brak;1960;Miejsce koncertu Fryderyka Chopina;plaque
Brak;n7770424157;7770424157;;;;Brak;Brak;I. Lisiecka (projekt), Edward Haupt;1967;Jan Kasprowicz;
Brak;n7840345013;7840345013;;;;Brak;Brak;Brak;Brak;Prof. Janusz Ziółkowski;
Brak;n7894816082;7894816082;;;;"""Boje Armii ""Poznań"" to wielka karta naszej narodowej epopei"" Wojciech Żukrowski. W 50. rocznicę ""Września"" Mieszkańcy Poznańskiego";Brak;Brak;Brak;"Tablica Armii ""Poznań""";plaque
Brak;n7894864218;7894864218;;;;Brak;Tekst odezwy Stalina;Brak;Brak;Odezwa Stalina;plaque
Brak;n8035868296;8035868296;;;;Brak;Brak;Brak;Brak;Kazimierz Nowak;stone
Brak;n8035868297;8035868297;;;;Brak;Brak;Brak;Brak;Józef Sam Sandi;stone
Brak;n8036453569;8036453569;;;;Brak;Brak;Brak;2011;Wawrzyniec Benzelstjern Engeström;stone
Brak;n8050600953;8050600953;;;;Brak;Brak;Brak;Brak;Feliks Michalski;stone
Brak;n8082230837;8082230837;;;;Brak;Głaz upamiętniający 20-tą rocznicę odrodzenia się Bractwa Kurkowego oraz ku chwale braciom poległym za Ojczyznę.;Brak;2009;20. rocznica odrodzenia ruchu brackiego w Poznaniu;stone
Brak;n8082230838;8082230838;;;;Brak;Brak;Brak;2017;Pomnik Strzelców Kurkowych;statue
Brak;n8167607995;8167607995;;;;Ślad torowiska Średzkiej Kolei Dojazdowej;Brak;Brak;Brak;Średzka Kolej Dojazdowa;plaque
Brak;n8167707016;8167707016;;;;Ślad torowiska Średzkiej Kolei Dojazdowej;Brak;Brak;Brak;Średzka Kolej Dojazdowa;plaque
Brak;n8173402240;8173402240;;;;Brak;Brak;SARP Poznań;Brak;Władysław Czarnecki;stone
Brak;n8339350244;8339350244;;;;Brak;Brak;Brak;Brak;Rondo Kaponiera;plaque
https://pl.wikipedia.org/wiki/Pomnik Wypędzonych Wielkopolan;n8339350249;8339350249;;;;"""W tym miejscu zostanie wzniesiony pomnik Wielkopolan ograbionych i wygnanych z własnych domów przez niemieckich najeźdźców w latach 1939-1945""";Brak;Brak;Brak;Miejsce planowanego Pomnika Wypędzonych Wielkopolan;stele
Brak;n8440308357;8440308357;;;;Brak;Brak;Brak;Brak;Jezus Chrystus dźwigający krzyż;
Brak;n8757757487;8757757487;;;;Brak;Brak;Brak;Brak;Pomnik psa;
Brak;n8792711391;8792711391;;;;Brak;Brak;Brak;Brak;Ławka Wincentego Różańskiego;bench
https://pl.wikipedia.org/wiki/Pomnik Bohdana Smolenia w Poznaniu;n8827179923;8827179923;;;;Brak;Brak;Piotr Socha;2021;Bohdan Smoleń;
Brak;n8829523208;8829523208;;;;Brak;Głaz upamiętniający Mariana Mikołajczyka, założyciela kombinatu ogrodniczego w Naramowicach;Brak;1997;Marian Mikołajczyk;stone
Brak;n8848170241;8848170241;;;;Królowej Polski za powtórne wskrzeszenie Ojczyzny 1918 i 1945;Brak;Brak;Brak;Matka Boża Królowa Polski;statue
https://pl.wikipedia.org/wiki/Pomnik Krzysztofa Komedy-Trzcińskiego w Poznaniu;n8935847236;8935847236;;;;Brak;Brak;Adam Dawczak-Dębicki;2010;Krzysztof Komeda-Trzciński;statue
Brak;n9070443198;9070443198;;;;Brak;Brak;Brak;Brak;Serce Jezusa;statue
Brak;n9097506538;9097506538;;;;Brak;Brak;Brak;Brak;Serce Jezusa;statue
Brak;n9097506548;9097506548;;;;Brak;Brak;Brak;Brak;Doc. Tadeusz Łosiński;stone
Brak;n9097506549;9097506549;;;;Brak;Brak;Brak;Brak;Doc. Marcin Sarnowski;plaque
Brak;n9097506550;9097506550;;;;Brak;Brak;Brak;Brak;Płk Henryk Kowalówka;stone
Brak;n9097506552;9097506552;;;;Brak;Brak;Brak;Brak;Miejsce zebrania założycielskiego Towarzystwa Krajoznawczego;plaque
Brak;n9098286813;9098286813;;;;Brak;"Głaz ""Golgota Wschodu"", odsłonięty w 70-tą rocznicę agresji WRR na Polskę";Brak;2009;Golgota Wschodu;stone
https://pl.wikipedia.org/wiki/Pomnik ofiar Fortu VII nad Rusałką w Poznaniu (północny brzeg);n9098301922;9098301922;;;;Miejsce uświęcone męczeńską krwią 20 bezimiennych mieszkańców Poznania, więzionych w Forcie VII i straconych przez okupanta hitlerowskiego w kwietniu 1940. Cześć ich pamięci.;Głaz upamiętniający miejsce uświęcone męczeńską krwią 20 bezimiennych mieszkańców Poznania, więzionych w Forcie VII i straconych przez okupanta hitlerowskiego w kwietniu 1940;Jan Cieślinski;Brak;Pomnik ofiar Fortu VII (północny brzeg);
https://pl.wikipedia.org/wiki/Pomnik proroka Eliasza w Poznaniu;n9098301986;9098301986;;;;Brak;Brak;Brak;Środek XVIII wieku;Prorok Eliasz;statue
Brak;n9098302000;9098302000;;;;Brak;Brak;Brak;2009;Św. Michał Archanioł;statue
Brak;n9098302001;9098302001;;;;Brak;Pomnik wzniesiony przez mieszkańców Pokrzywna w dowód wdzięczności za odzyskanie niepodległości;Brak;1918;Pomnik wdzięczności za odzyskanie niepodległości;statue
Brak;n9098302002;9098302002;;;;Brak;Brak;Brak;Brak;Św. Teresa;statue
Brak;n9098302003;9098302003;;;;Brak;Brak;Brak;Brak;NMP Niepokalanego Poczęcia;statue
Brak;n9098302004;9098302004;;;;Brak;Brak;Brak;1929;Pomnik poległych w I i II Wojnie Światowej oraz Powstaniu Wielkopolskim;statue
Brak;n9098519769;9098519769;;;;Brak;Brak;Brak;1975;Głaz ofiar II Wojny Świątowej z rejonu SP 56;stone
Brak;n9098519770;9098519770;;;;Brak;"Zamęczonym pracownikom ""Stomila"", w 20-tą rocznicę wyzwolenia miasta Poznania";Brak;1965;Pomnik zamęczonych pracowników Stomila;
Brak;n9098519773;9098519773;;;;Brak;Głaz upamiętniający 50-tą rocznicę utworzenia szczepu harcerskiego imienia Edwarda Pietrzykowskiego na Osiedlu Warszawskim;"M. Pietrzykowski; Edward Smolibowski";1982;50. rocznica utworzenia szczepu harcerskiego im. Edwarda Pietrzykowskiego;stone
Brak;n9098519780;9098519780;;;;Brak;Brak;Edward Gorol;1975;Józef Paczoski;stone
Brak;n9098672690;9098672690;;;;Brak;Brak;Brak;2011;Dąb por. Jana Szmagiera;stone
https://pl.wikipedia.org/wiki/Głaz Franciszka Witaszka w Poznaniu;n9098672694;9098672694;;;;Brak;Brak;Brak;1976;Głaz poległych w walce z faszyzmem;stone
Brak;n9098672696;9098672696;;;;Brak;Brak;Brak;1998;Prof. Bohdan Kiełczewski;stone
https://pl.wikipedia.org/wiki/Pomnik Józefa Rivolego w Poznaniu;n9098672697;9098672697;;;;Brak;Brak;Brak;1948;Prof. Józef Rivoli;
Brak;n9098918013;9098918013;;;;Brak;Brak;Brak;Brak;Miejsce urodzenia Romana Wilhelmiego;plaque
Brak;n9100683050;9100683050;;;;W hołdzie Poległym w Powstaniu Poznańskiego Czerwca 1956, w tym Cegielszczakom F. Lipskiemu, C. Jackowskiemu, B. M. Sobalakowi, W. Toma, Z. Janczewskiemu;Brak;Brak;Brak;Tablica poległych w Poznańskim Czerwcu 1956;plaque
Brak;n9100683051;9100683051;;;;Dla upamiętnienia X rocznicy powstania Niezależnego Samorządnego Związku Zawodowego „Solidarność”, Komisja Zakładowa NSZZ H. Cegielski;Brak;Brak;Brak;"10. rocznica powstania NSZZ ""Solidarność""";plaque
Brak;n9101955182;9101955182;;;;Brak;Brak;Brak;Brak;Pomnik polskich lotników;
Brak;n9101955183;9101955183;;;;Brak;Brak;Henryk Marcinkowski;1999;"Pomnik fundacji im. gen. Henryka ""Zręba"" Kowalówki";
Brak;n9101955184;9101955184;;;;Brak;Pomnik polskich żołnierzy poległych podczas II WŚ;Zygmunt Wujek;1986;Pomnik żołnierzy polskich;
Brak;n9101955185;9101955185;;;;Brak;Brak;Brak;1964;Pomnik żołnierzy radzieckich;obelisk
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n9101955186;9101955186;;;;Brak;Pomnik poświęcony poległym żołnierzom z 3 Poznańskiego Pułku Lotniczego;Ryszard Skupin;1989;Pomnik 3. Poznańskiego Pułku Lotniczego;
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n9101955187;9101955187;;;;Brak;Pomnik poświęcony żołnierzom 57 Pułku Piechoty Wielkopolskiej, poległym w obronie Ojczyzny we wrześniu 1939r.;J. Ormowski;1974;Pomnik 57. Pułku Piechoty Wielkopolskiej;
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n9101955188;9101955188;;;;Brak;Brak;Ryszard Skupin;1965;Pomnik cytadelowców;
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n9101955189;9101955189;;;;Brak;Brak;Brak;2008;Pomnik bohaterów walk o niepodległość 1918-1920;
https://pl.wikipedia.org/wiki/Pomnik Wojciecha Szczęsnego Kaczmarka w Poznaniu;n9101955190;9101955190;;;;Brak;Brak;Łukasz Trusewicz;2011;Pomnik Wojciecha Szczęsnego Kaczmarka;
Brak;n9101955191;9101955191;;;;Brak;Pomnik nagrobny 139 żołnierzy radzieckich, poległych w walkach o wyzwolenie rejonu Głuszyna;Brak;Brak;Pomnik nagrobny żołnierzy radzieckich;
https://pl.wikipedia.org/wiki/Pomniki i głazy pamiątkowe Uniwersytetu Przyrodniczego w Poznaniu;n9101955192;9101955192;;;;Brak;Brak;Brak;1985;Prof. dr Mikołaj Kwinichidze;stone
https://pl.wikipedia.org/wiki/Pomniki i głazy pamiątkowe Uniwersytetu Przyrodniczego w Poznaniu;n9101955193;9101955193;;;;Brak;Brak;Brak;1985;Prof. dr Feliks Terlikowski;stone
Brak;n9101955196;9101955196;;;;Brak;Brak;Brak;Brak;Jezus Chrystus;statue
Brak;n9101962325;9101962325;;;;Brak;Brak;Brak;Brak;Jan Paweł II;stone
Brak;n9101962327;9101962327;;;;Brak;Pomnik upamiętniający mieszkańców Junikowa, którzy stawili opór niemieckiemu okupantowi;Brak;2004;Pomnik junikowskich członków ruchu oporu;
https://pl.wikipedia.org/wiki/Pomnik Armii Poznań;n9101962464;9101962464;;;;Starali się wykonać niewykonalny w 1939 roku obowiązek - obronę Polski;Brak;"Anna Rodzińska-Iwańska; Józef Iwiański";1982;Pomnik Armii Poznań;
Brak;n9101962465;9101962465;;;;Brak;Tekst odezwy Stalina wydanego po zdobyciu Poznania (w języku rosyjskim);Brak;Brak;Odezwa Stalina;plaque
Brak;n9101962466;9101962466;;;;Brak;Tekst odezwy Stalina wydanego po zdobyciu Poznania (w języku polskim);Brak;Brak;Odezwa Stalina;plaque
https://pl.wikipedia.org/wiki/Pomnik ofiar Fortu VII nad Rusałką w Poznaniu (południowy brzeg);n9101962470;9101962470;;;;Tu spoczywają prochy około 40 bezimiennych mieszkańców Poznania - więźniów Fortu VII, straconych przez okupanta hitlerowskiego w grudniu 1940 roku - Cześć Ich Pamięci.;Pomnik upamiętniający ok. 40 Polaków osadzonych w więzieniu przy ul. Młyńskiej i w Forcie VII, zamordowanych w grudniu 1940 roku;"Jan Cieśliński; Jan M. Jakób";Brak;Pomnik ofiar Fortu VII (południowy brzeg);
Brak;n9102009712;9102009712;;;;Brak;Brak;Brak;Brak;Miniatura Poznańskich Krzyży;
Brak;n9102009713;9102009713;;;;28 VI 1956 - 28 VI 1981 / W 25-tą rocznicę robotniczego protestu pracowników fabryki wagonów. Dla pamięci żyjącym, a ku przestrodze potomnym. Wyrazy hołdu Bohaterom Czerwca składa NSZZ Solidarność fabryki lokomotyw i wagonów.;Pomnik upamiętniający 25-tą rocznicę protestu pracowników Fabryki Pojazdów Szynowych;Józef Petruk;1981;25. rocznica robotniczego protestu;
Brak;n9103444865;9103444865;;;;Brak;Brak;Brak;Brak;Św. Ojciec Pio;
Brak;n9103444869;9103444869;;;;Na pamiątkę Kongresu Chrystusa Króla w Poznaniu w 1937 r. wdzięczni parafianie;Brak;Brak;1937;Kongres Chrystusa Króla w Poznaniu w 1937;statue
Brak;n9103444870;9103444870;;;;Brak;Pomnik upamiętniający miejsce pochowania 12 radzieckich żołnierzy, poległych w walkach o wyzwolenie rejonu Kobylepole;Brak;Brak;Miejsce pochówku radzieckich żołnierzy;
Brak;n9103444871;9103444871;;;;Brak;Pomnik poświęcony pracownikom ZNTK, którzy polegli w walce o wolność i demokrację (1870 - 1970);R. Gruba, H. Rzetelski;1970;Pomnik poległych pracowników ZNTK;
Brak;n9103444872;9103444872;;;;"Cierpieli za słowa: ""Godności i chleba"". Pracownikom ZNTK, uczestnikom Wydarzeń Czerwcowych 1956. Solidarność 28 VI 1956";Pomnik poświęcony pracownikom ZNTK, którzy uczestniczyli w wydarzeniach Czerwca 1956r.;Józef Petruk;1981;Pomnik pracowników ZNTK - uczestników Poznańskiego Czerwca 1956;
https://pl.wikipedia.org/wiki/Dzieci Czerwca 1956;n9103444873;9103444873;;;;Brak;Brak;Brak;Brak;Dzieci Poznańskiego Czerwca 1956;statue
Brak;n9103444874;9103444874;;;;Brak;Brak;Brak;Brak;Pomnik Bohaterów wojny polsko-bolczewickiej;
https://pl.wikipedia.org/wiki/Pomnik Augusta Hlonda w Poznaniu;n9103444875;9103444875;;;;Brak;Brak;Jerzy Sobociński;1981;Kard. August Hlond;statue
Brak;n9103444876;9103444876;;;;Brak;Brak;Brak;2011;Pomnik św. Katarzyny;
Brak;n9103444877;9103444877;;;;Brak;Brak;Brak;Brak;10 przykazań Bożych;
Brak;n9103444881;9103444881;;;;Brak;Brak;Brak;Brak;Ignacy Jan Paderewski;statue
Brak;n9103551689;9103551689;;;;Brak;Brak;Brak;Brak;Stefan Czarnecki;statue
https://pl.wikipedia.org/wiki/Pomnik Harcerski na Boninie w Poznaniu;n9103551690;9103551690;;;;Brak;Pomnik upamiętniający harcerzy, którzy oddali swe życia Ojczyźnie w latach 1939-1945;Z. Dłużewski, E. Grochal;1971;Pomnik poległych harcerzy;
Brak;n9105283727;9105283727;;;;Brak;Pomnik nagrobny z mogiłą 28 żołnierzy Armii Czerwonej, poległych w walkach o wyzwolenie rejonu Piątkowo - Winiary;Brak;1985;Pomnik nagrobny żołnierzy Armii Czerwonej;
Brak;n9105283728;9105283728;;;;Brak;Pomnik nagrobny z mogilą 64 żołnierzy Armii Czerwonej poległych w walkach o wyzwolenie rejonu Sołacz - Winiary;Brak;1945;Pomnik nagrobny żołnierzy Armii Czerwonej;
Brak;n9105283730;9105283730;;;Kpt. Czesław Pobóg-Prusinowski;Brak;Brak;Brak;Brak;Pomnik nagrobny kpt. Czesława Pobóg-Prusinowskiego;
Brak;n9105283731;9105283731;;;Gen. bryg. Oswald Frank;Brak;Pomnik nagrobny gen. bryg. Oswalda Franka, dowódcy VII Korpusu w Poznaniu;Brak;Brak;Pomnik nagrobny gen. bryg. Oswalda Franka;
Brak;n9105283735;9105283735;;;;Brak;Brak;Brak;Brak;AD 1952;stone
Brak;n9105283736;9105283736;;;;Brak;Brak;Brak;2012;60-lecie Instytutu Technologii Drewna;
https://pl.wikipedia.org/wiki/Pomnik Pawła Edmunda Strzeleckiego w Poznaniu;n9105283737;9105283737;;;;Paweł Edmund Strzelecki / 1797 – 1873 / Wybitny syn Ziemi Wielkopolskiej.;Brak;Brak;1971;Paweł Edmund Strzelecki;obelisk
Brak;n9105315269;9105315269;;;;Brak;Brak;I. Rosińska;1975;Adam Mickiewicz;
https://pl.wikipedia.org/wiki/Pomnik Adama Mickiewicza w Poznaniu;n9105702732;9105702732;;;;Brak;Brak;"Bazyli Wojtowicz; Czesław Woźniak";1960;Adam Mickiewicz;statue
https://pl.wikipedia.org/wiki/Pomnik Ofiar Czerwca 1956;n9105702733;9105702733;;;;Brak;Brak;"Adam Graczyk; Włodzimierz Wojciechowski";1981;Poznański Czerwiec 1956;
https://pl.wikipedia.org/wiki/Pomnik Augustyna Szamarzewskiego w Poznaniu;n9105702757;9105702757;;;;Brak;Brak;Władysław Saletis;2001;Ks. Augustyn Szamarzewski;bust
Brak;n9105702758;9105702758;;;;Brak;Brak;Brak;Koniec XIX wieku;Mikołaj Kopernik;bust
Brak;n9105702759;9105702759;;;;Brak;Brak;Jerzy Sobociński;1969;Władysław Reymont;bust
Brak;n9107873628;9107873628;;;;Brak;Mężczyzna z panterą;Brak;1909;Dramat;sculpture
Brak;n9107873629;9107873629;;;;Brak;Kobieta na lwie;Brak;1909;Liryka;sculpture
Brak;n9108326693;9108326693;;;;Brak;Brak;Brak;Brak;Św. Józef;statue
Brak;n9110726187;9110726187;;;;W XXI rocznice zwycięstwa nad faszyzmem 9.V.1966;Brak;Brak;1966;21. rocznica zwycięstwa nad faszyzmem;plaque
Brak;n9110726201;9110726201;;;;Brak;Tablica informująca, że w tym zespole budynków, w latach 1945 - 1947, mieściła się Katownia Urzędu Bezpieczeństwa;Brak;1991;Miejsce Katowni Urzędu Bezpieczeństwa;plaque
Brak;n9110726202;9110726202;;;;Brak;Tablica informująca o miejscu utworzenia teatru letniego, zbudowanego w czynie społecznym przez młodzież Poznania w 1968 roku;Brak;1968;Miejsce utworzenia teatru letniego;plaque
Brak;n9110726205;9110726205;;;;Brak;Brak;Józef Stasiński;2010;Feliks Nowowiejski;plaque
Brak;n9110726206;9110726206;;;;Brak;Brak;Brak;2010;Tablica twórców Roty;plaque
Brak;n9110726207;9110726207;;;;Brak;Tablica ufundowana przez kolejarzy Zachodniego Okręgu Kolei Państwowych w setną rocznicę Dyrekcji Kolei w Poznaniu;Brak;1995;100. rocznica Dyrekcji Kolei w Poznaniu;plaque
Brak;n9110726210;9110726210;;;;Brak;Brak;Brak;1993;Roger Raczyński;plaque
Brak;n9110726211;9110726211;;;;Brak;Brak;Brak;1990;Adolf Bniński;plaque
Brak;n9110726212;9110726212;;;;Brak;Brak;Brak;2013;Wojciech Trąmpczyński;plaque
Brak;n9110726213;9110726213;;;;Brak;Brak;Brak;2008;Płk. Ludwik Bociański;plaque
Brak;n9110726214;9110726214;;;;Brak;Brak;Brak;2004;Witold Celichowski;plaque
Brak;n9110726215;9110726215;;;;Brak;Tablica informująca o historii budynku Uniwersytetu Ekonimicznego i upamiętniająca działalność zawodową architekta Adama Ballenstedta;Brak;2011;Adam Ballenstedt;plaque
Brak;n9110726216;9110726216;;;;Brak;Tablica informująca, że w tym budynku mieściła się siedziba naczelnego Instytutu Akcji Katolickiej w Polsce;Brak;2004;Miejsce siedziby naczelnego Instytutu Akcji Katolickiej;plaque
Brak;n9110765617;9110765617;;;;Brak;Tablica upamiętniająca powstanie Wielkopolskiego Związku Śpiewaczego Na Wielkie Księstwo Poznańskie;Józef Petruk;1992;Miejsce założenia Wielkopolskiego Związku Śpiewaczego;plaque
